iterations,bb100_vs_regles,err_regles,bb100_vs_dqn,err_dqn
50000,-545.1,229.7,-93.5,214.6
100000,-451.3,207.5,-424.4,217.6
150000,-590.2,210.4,-282.8,206.4
200000,-250.1,204.5,-400.2,203.6
250000,-687.2,203.2,82.9,196.4
350000,-302.8,209.2,-113.4,189.1
450000,-276.8,210.1,-84.1,191.5
550000,-104.2,188.7,-291.7,183.8
650000,-452.2,214.0,48.1,178.5
750000,-315.0,188.0,154.1,179.6
825000,-44.8,191.4,22.6,182.1
900000,-253.8,183.1,245.3,180.6
975000,68.5,198.8,123.3,179.4
1050000,-29.9,185.0,-46.1,167.3
1125000,-75.6,188.6,124.6,172.7
1200000,-216.4,191.8,-239.7,178.2
1275000,-329.0,183.6,-182.3,182.9
1350000,-283.5,175.5,-50.2,172.4
1425000,-68.6,175.7,-150.8,166.1
1500000,-15.5,171.4,-382.6,171.4
1575000,355.6,156.0,313.8,144.8
1650000,229.8,158.4,-153.5,132.2
1725000,208.4,171.6,22.8,130.3
1800000,81.0,153.2,3.3,148.0
1875000,130.4,135.9,-2.2,143.5
1950000,63.2,159.1,193.7,142.5
2025000,96.0,154.7,30.4,137.8
2100000,-308.2,147.2,211.2,142.8
2175000,199.4,144.9,110.9,141.4
2250000,-43.9,150.3,69.9,139.2
2325000,-348.2,158.8,-229.9,150.0
2400000,45.9,150.0,35.6,138.6
2475000,-354.4,154.5,149.7,142.6
2550000,-59.2,160.1,149.6,134.8
2625000,333.0,154.6,73.2,145.4
2700000,299.2,145.2,25.0,156.3
2775000,118.3,148.6,94.3,148.0
2850000,76.4,155.0,262.6,150.1
2925000,90.7,155.4,14.1,150.0
3000000,3.7,148.6,134.2,144.2
