iterations,situations,iters_par_s,eta_min
1000,66554,32.0,782
2000,114573,33.3,749
3000,161311,32.1,778
4000,203171,33.4,746
5000,241890,34.3,726
6000,281158,34.1,729
7000,314356,33.8,737
8000,348833,34.1,729
9000,382000,35.2,705
10000,414250,36.1,688
11000,441787,37.0,670
12000,468467,37.7,657
13000,495011,38.3,648
14000,520861,38.8,639
15000,548276,39.1,633
16000,573647,39.6,625
17000,597701,39.9,620
18000,621638,40.0,618
19000,643300,40.3,613
20000,666345,40.4,611
21000,690235,40.3,612
22000,712716,40.1,614
23000,735164,39.9,617
24000,757649,39.9,617
25000,777793,39.9,617
26000,798541,39.9,616
27000,820690,39.8,617
28000,838760,39.8,617
29000,858441,39.8,616
30000,878563,39.7,618
31000,897282,39.7,617
32000,914884,39.8,615
33000,933836,39.6,618
34000,951919,39.5,618
35000,969225,39.5,618
36000,987070,39.4,619
37000,1004579,39.4,619
38000,1022239,39.3,619
39000,1038786,39.2,621
40000,1056587,39.1,622
41000,1072931,39.0,624
42000,1090636,38.8,626
43000,1105837,38.8,627
44000,1121123,38.7,626
45000,1135770,38.7,626
46000,1151145,38.6,628
47000,1165464,38.5,628
48000,1180276,38.5,629
49000,1194195,38.5,629
50000,1207790,38.4,630
51000,1223019,37.7,641
52000,1237069,37.6,642
53000,1251009,37.5,643
54000,1263642,37.5,643
55000,1277321,37.4,644
56000,1289215,37.4,644
57000,1302623,37.3,645
58000,1315212,37.2,647
59000,1328336,37.1,648
60000,1340772,37.0,649
61000,1354390,36.9,650
62000,1366614,36.9,650
63000,1378403,36.8,651
64000,1391076,36.7,652
65000,1401641,36.6,653
66000,1412727,36.6,654
67000,1423775,36.5,654
68000,1435011,36.5,654
69000,1446270,36.4,655
70000,1457290,36.5,654
71000,1468862,36.4,655
72000,1480391,36.4,655
73000,1490538,36.3,655
74000,1501610,36.3,654
75000,1511266,36.4,653
76000,1521316,36.3,654
77000,1531496,36.3,654
78000,1541181,36.2,654
79000,1550883,36.2,655
80000,1560362,36.1,655
81000,1569445,36.1,655
82000,1578208,36.1,655
83000,1586717,36.1,655
84000,1595947,36.0,656
85000,1605073,36.0,655
86000,1613923,35.9,656
87000,1622655,35.9,656
88000,1630717,35.8,656
89000,1639848,35.8,657
90000,1649180,35.8,657
91000,1658108,35.7,658
92000,1666688,35.6,659
93000,1675131,35.6,660
94000,1683324,35.5,660
95000,1691963,35.5,660
96000,1700222,35.4,661
97000,1708447,35.4,661
98000,1716653,35.3,662
99000,1724869,35.3,662
100000,1732344,35.2,663
101000,1740420,34.8,669
102000,1748312,34.8,670
103000,1755921,34.8,670
104000,1762907,34.8,669
105000,1770420,34.8,669
106000,1778391,34.7,669
107000,1786305,34.7,669
108000,1793533,34.7,669
109000,1800470,34.7,668
110000,1807582,34.7,667
111000,1815141,34.7,667
112000,1822666,34.7,667
113000,1829690,34.7,666
114000,1836857,34.7,665
115000,1843809,34.7,664
116000,1850727,34.7,665
117000,1856793,34.7,664
118000,1863893,34.7,664
119000,1870203,34.7,663
120000,1876453,34.7,663
121000,1882634,34.6,664
122000,1889057,34.6,664
123000,1895719,34.6,664
124000,1902570,34.6,663
125000,1909129,34.6,663
126000,1915553,34.6,662
127000,1922050,34.6,661
128000,1928094,34.6,660
129000,1934461,34.6,660
130000,1940843,34.1,669
131000,1947333,33.5,680
132000,1953778,33.6,679
133000,1960097,33.5,679
134000,1966114,33.6,678
135000,1972183,33.5,678
136000,1978466,33.5,678
137000,1983981,33.6,677
138000,1989739,33.6,676
139000,1996430,33.6,675
140000,2002064,33.5,676
141000,2008348,33.3,680
142000,2013616,33.2,681
143000,2019427,32.4,698
144000,2024734,32.4,697
145000,2029711,32.4,697
146000,2035348,32.4,696
147000,2040780,32.4,695
148000,2046607,32.3,697
149000,2051425,32.3,696
150000,2056432,32.3,696
151000,2061567,32.0,702
152000,2066520,32.0,702
153000,2071709,32.0,702
154000,2076582,32.0,702
155000,2082023,32.0,702
156000,2087059,32.0,701
157000,2092040,32.0,699
158000,2097222,32.0,699
159000,2101907,32.1,697
160000,2106824,32.1,695
161000,2111911,32.2,693
162000,2116642,32.2,692
163000,2121113,32.3,690
164000,2125889,32.4,688
165000,2130427,32.4,687
166000,2134903,32.5,685
167000,2139455,32.4,685
168000,2143799,32.3,688
169000,2148509,32.2,689
170000,2153072,32.0,693
171000,2157345,31.9,695
172000,2161907,31.9,693
173000,2166134,31.7,698
174000,2170610,31.7,698
175000,2175230,31.7,697
176000,2179236,31.8,695
177000,2183552,31.8,694
178000,2188068,31.8,693
179000,2192343,31.8,693
180000,2196389,31.8,691
181000,2200239,31.9,689
182000,2204507,31.9,689
183000,2208373,31.9,687
184000,2211845,32.0,686
185000,2216124,32.0,684
186000,2220169,32.1,683
187000,2224126,32.1,682
188000,2227908,32.1,681
189000,2232213,32.1,680
190000,2235682,32.2,679
191000,2239248,32.2,677
192000,2243197,32.3,676
193000,2247084,32.3,675
194000,2251090,32.3,674
195000,2255196,32.3,672
196000,2259501,32.4,671
197000,2263593,32.4,670
198000,2267465,32.4,669
199000,2270869,32.5,667
200000,2274735,32.5,666
201000,2278972,32.4,669
202000,2282197,32.4,667
203000,2286019,32.4,666
204000,2289201,32.5,664
205000,2292780,32.5,663
206000,2296707,32.6,662
207000,2299931,32.6,661
208000,2303608,32.7,659
209000,2307184,32.7,658
210000,2311012,32.7,657
211000,2314581,32.7,656
212000,2318037,32.8,655
213000,2321378,32.8,655
214000,2325161,32.8,654
215000,2328724,32.8,653
216000,2332306,32.8,652
217000,2335426,32.9,651
218000,2338618,32.9,649
219000,2341763,33.0,648
220000,2344846,33.0,646
221000,2348048,33.0,645
222000,2351341,33.1,644
223000,2354597,33.1,643
224000,2357754,33.1,642
225000,2361069,33.2,641
226000,2363913,33.2,639
227000,2367023,33.2,638
228000,2369955,33.3,637
229000,2373146,33.3,636
230000,2376298,33.4,634
231000,2379798,33.4,634
232000,2382951,33.4,633
233000,2385843,33.4,631
234000,2388782,33.5,630
235000,2391866,33.5,629
236000,2394541,33.6,628
237000,2397466,33.6,627
238000,2400914,33.6,626
239000,2403818,33.6,625
240000,2406604,33.7,623
241000,2409391,33.7,623
242000,2412096,33.7,622
243000,2415188,33.7,622
244000,2418207,33.7,620
245000,2421062,33.8,619
246000,2424094,33.8,619
247000,2426616,33.8,618
248000,2429194,33.8,617
249000,2432043,33.9,615
250000,2434998,33.9,614
251000,2438216,33.8,615
252000,2441332,33.9,614
253000,2444086,33.9,613
254000,2446904,33.9,612
255000,2449737,34.0,611
256000,2452513,34.0,610
257000,2455032,34.0,609
258000,2457940,34.1,608
259000,2460614,34.1,607
260000,2463236,34.1,605
261000,2465720,34.2,604
262000,2468912,34.2,603
263000,2471683,34.3,602
264000,2474377,34.3,601
265000,2477093,34.3,600
266000,2479453,34.4,599
267000,2482058,34.4,597
268000,2485200,34.4,596
269000,2487984,34.5,595
270000,2490441,34.5,594
271000,2493042,34.5,593
272000,2495635,34.6,592
273000,2498170,34.5,592
274000,2500682,34.5,592
275000,2503494,34.2,596
276000,2506182,34.1,598
277000,2508795,34.1,598
278000,2511498,34.0,599
279000,2514229,34.0,599
280000,2516570,33.9,599
281000,2518693,34.0,598
282000,2521506,34.0,598
283000,2524064,34.0,597
284000,2526504,34.0,596
285000,2528972,34.1,594
286000,2531493,34.1,593
287000,2534327,34.1,593
288000,2536510,34.1,592
289000,2539009,34.2,591
290000,2541549,34.2,590
291000,2543916,34.1,591
292000,2546312,34.1,590
293000,2548784,34.1,590
294000,2551224,34.1,589
295000,2553687,34.1,588
350000,2666683,100.0,192
450000,2829798,105.2,166
550000,2953559,105.1,151
650000,3052305,108.0,131
750000,3131957,108.8,115
825000,3182268,80.3,140
900000,3225190,73.8,135
975000,3262940,70.4,124
1050000,3297149,70.7,106
1125000,3327147,66.1,95
1200000,3353804,62.0,81
1275000,3378135,60.4,62
1350000,3401296,58.1,43
1425000,3421850,59.9,21
1500000,3440730,40.3,0
1575000,2946406,80.4,295
1650000,3019950,68.4,329
1725000,3077719,53.0,401
1800000,3125803,69.9,286
1875000,3166335,79.0,237
1950000,3203330,82.3,213
2025000,3236206,83.6,194
2100000,3265556,69.4,216
2175000,3291781,63.3,217
2250000,3315888,52.0,240
2325000,3338105,45.9,245
2400000,3358584,42.0,238
2475000,3377800,39.3,222
2550000,3395255,37.4,201
2625000,3412116,35.8,174
2700000,3428052,34.6,144
2775000,3443155,33.6,112
2850000,3457437,32.8,76
2925000,3471051,32.1,39
3000000,3483246,29.5,0
