iterations,situations,iters_par_s,eta_min
75000,1909425,98.5,495
150000,2727322,86.4,550
225000,3288126,82.8,559
300000,3673166,74.4,605
375000,3943786,65.1,672
495000,4250433,70.5,593
1245000,5107114,2940.8,61
2745000,5639647,14413.7,11
4245000,5893600,11374.6,11
5745000,6037991,9679.0,11
7745000,6150296,10329.3,20
9745000,6218686,12230.7,14
11745000,6273974,12767.4,11
13745000,6314872,13306.1,8
15745000,6345673,13571.4,5
17745000,6367674,13728.2,3
19745000,6385471,13323.5,0
21745000,6399188,13862.0,-2
23745000,6226655,10658.9,7
25745000,6267981,12273.8,3
27745000,6298715,12909.2,0
29745000,6322416,14097.3,-2
