iterations,bb100_vs_regles,err_regles,bb100_vs_dqn,err_dqn
300000,-522.2,221.3,-159.7,204.5
600000,-487.6,193.4,-270.3,201.6
900000,-674.6,192.5,184.5,182.7
1200000,181.8,204.8,-86.1,174.6
1500000,-296.9,187.9,19.4,178.6
1800000,-50.3,182.3,30.3,196.7
2100000,-139.4,188.0,160.3,174.6
2400000,236.3,190.1,115.5,152.9
2700000,-272.6,174.0,120.9,168.0
3000000,-52.5,177.6,-54.2,162.3
3300000,-69.0,179.0,239.5,165.3
3300000,-69.0,179.0,239.5,165.3
3600000,-28.8,154.1,154.4,163.0
3900000,-62.6,165.5,-195.7,152.5
4200000,189.2,158.9,-12.6,143.3
4500000,-94.7,159.6,-34.8,154.0
4800000,-337.3,165.8,-193.8,145.6
5100000,90.7,165.0,-14.9,147.4
5400000,10.7,166.0,169.0,147.5
5700000,-15.2,166.6,225.6,160.8
6000000,68.2,163.0,77.9,143.2
6300000,-6.8,159.3,330.2,154.6
6600000,157.1,156.0,-186.8,149.1
6900000,242.3,160.1,50.8,151.9
7200000,-11.9,154.8,62.0,161.7
7500000,323.9,138.7,8.8,147.2
7800000,-17.0,141.1,-44.8,135.6
8100000,125.9,125.2,535.0,143.2
8400000,-138.4,129.0,120.1,134.8
8700000,105.7,154.5,140.9,132.5
9000000,379.8,141.1,64.1,121.2
9300000,-50.2,122.0,319.7,130.5
9600000,105.2,129.8,137.2,141.6
9900000,-41.9,125.4,-62.5,133.1
10200000,18.3,127.8,120.4,125.3
10500000,276.3,144.0,161.4,122.7
10800000,-225.7,125.4,151.8,141.5
11100000,254.4,152.5,-64.5,144.8
11400000,-71.2,138.9,132.4,125.6
11700000,103.8,149.4,463.5,136.6
12000000,28.7,149.6,-79.4,129.4
12300000,208.6,149.0,279.8,143.3
12600000,21.1,143.5,155.1,138.5
12900000,189.7,138.4,264.8,149.1
13200000,230.8,145.0,179.2,147.5
13500000,142.3,146.7,117.8,133.0
13800000,96.2,137.1,-118.7,129.8
14100000,317.6,157.1,123.8,130.0
14400000,-69.3,137.5,176.7,149.4
14700000,380.8,147.6,149.5,139.8
15000000,39.8,131.5,57.8,147.9
15300000,284.0,151.6,256.4,127.8
15600000,95.5,143.6,390.2,136.6
15600000,95.5,143.6,390.2,136.6
15900000,231.2,136.4,87.8,138.7
16200000,271.2,144.8,5.6,134.4
16200000,271.2,144.8,5.6,134.4
16500000,98.6,146.9,99.2,130.2
16800000,72.1,136.0,153.2,131.7
17100000,64.2,135.5,134.3,128.3
17400000,32.4,125.5,353.8,137.4
17700000,57.4,137.4,119.8,144.5
18000000,-83.8,143.5,347.2,133.2
18300000,21.7,138.4,387.1,147.2
18600000,146.6,141.5,68.5,137.2
18900000,297.2,145.9,279.0,148.2
19200000,186.8,146.9,326.0,137.6
19500000,37.8,131.3,80.1,125.5
19800000,118.8,143.5,441.9,128.6
20100000,149.8,138.1,353.3,139.1
20400000,71.2,133.0,91.8,131.1
20700000,288.3,136.5,258.7,132.7
21000000,135.8,132.2,296.2,139.2
21300000,186.7,144.0,292.2,143.2
21600000,199.2,152.1,247.4,144.3
21900000,112.8,133.1,62.8,134.3
22200000,84.3,134.9,28.3,130.8
22500000,-15.4,141.6,193.8,127.7
22800000,293.2,141.1,-67.5,133.6
23100000,202.0,141.1,169.4,136.6
23400000,22.6,135.2,145.5,147.4
23700000,72.2,145.5,253.0,125.4
24000000,131.2,150.6,185.5,130.4
24300000,210.9,127.9,267.8,144.0
24600000,436.7,124.9,328.1,140.4
24900000,161.0,131.4,57.5,138.5
25200000,64.7,132.6,116.3,131.0
25500000,8.8,142.9,419.7,127.4
25800000,153.5,132.5,142.8,128.4
26100000,189.8,131.5,393.7,135.7
26400000,173.5,122.4,137.8,132.6
26700000,109.7,134.2,295.1,125.2
27000000,88.8,134.1,70.0,135.4
