mains,epsilon,perte,bb100_vs_regles,bb100_vs_call,bb100_vs_aleatoire
10000,0.947,0.14064,-1356.4,1547.2,229.9
20000,0.894,0.14331,-1484.9,832.6,384.1
30000,0.842,0.13842,-1511.1,1357.1,439.2
40000,0.789,0.14687,-1512.5,1502.2,789.5
50000,0.736,0.14267,-1555.3,1464.8,322.5
60000,0.683,0.15026,-1301.2,1569.5,848.7
70000,0.631,0.14433,-542.9,1461.4,541.2
80000,0.578,0.13817,-1117.6,1601.1,603.1
90000,0.525,0.1374,-880.8,1744.8,163.6
100000,0.472,0.13382,-707.9,1333.9,574.6
110000,0.419,0.13306,-666.6,1654.0,847.2
120000,0.367,0.12873,-293.8,1893.4,645.3
130000,0.314,0.12108,-563.5,1856.0,908.2
140000,0.261,0.11858,-643.4,1705.4,596.9
150000,0.208,0.11427,-640.6,1689.1,791.4
160000,0.156,0.11334,-795.3,1578.1,880.7
170000,0.103,0.10522,-604.6,1756.9,700.2
180000,0.05,0.10372,-596.8,1225.1,866.1
