mains,epsilon,perte,bb100_recent,mains_par_s,eta_min
100,0.999,nan,-1824.5,194.8,26
200,0.999,nan,-1526.5,207.0,24
300,0.998,nan,-1437.7,204.7,24
400,0.998,nan,-1466.9,209.0,24
500,0.997,nan,-1326.8,209.2,24
600,0.997,nan,-1292.0,208.9,24
700,0.996,nan,-1330.4,203.8,24
800,0.996,nan,-1360.6,204.2,24
900,0.995,0.2982,-1210.3,151.4,33
1000,0.995,0.25689,-1138.5,60.3,83
1100,0.994,0.17564,-1168.4,42.7,117
1200,0.994,0.13142,-1071.1,33.7,148
1300,0.993,0.12521,-1121.0,28.3,176
1400,0.993,0.12177,-1110.6,26.6,187
1500,0.992,0.12204,-1106.9,26.4,189
1600,0.992,0.1264,-1105.2,25.3,197
1700,0.991,0.12492,-1048.2,25.0,199
1800,0.991,0.12236,-942.8,24.5,203
1900,0.99,0.12405,-905.9,24.2,206
2000,0.989,0.12351,-890.2,24.0,207
2100,0.989,0.12908,-883.9,24.0,207
2200,0.988,0.13154,-891.1,23.1,214
2300,0.988,0.13252,-843.8,23.0,216
2400,0.987,0.13421,-827.4,22.8,218
2500,0.987,0.13255,-825.2,22.4,221
2600,0.986,0.13726,-828.6,21.5,230
2700,0.986,0.14106,-804.1,21.5,230
2800,0.985,0.14242,-743.8,21.4,232
2900,0.985,0.14145,-771.9,21.0,235
3000,0.984,0.14352,-797.5,20.9,237
3100,0.984,0.14793,-727.5,19.6,252
3200,0.983,0.15108,-726.0,19.2,257
3300,0.983,0.1506,-647.2,19.0,260
3400,0.982,0.15082,-633.8,19.1,259
3500,0.982,0.14978,-616.9,19.1,259
3600,0.981,0.14534,-545.5,19.2,258
3700,0.98,0.14483,-574.6,18.9,262
3800,0.98,0.14493,-576.2,18.5,266
3900,0.979,0.14404,-610.3,18.5,267
4000,0.979,0.14644,-577.9,18.4,268
4100,0.978,0.14993,-527.5,18.3,269
4200,0.978,0.14957,-478.0,18.3,269
4300,0.977,0.14653,-492.1,18.3,269
4400,0.977,0.14693,-420.0,18.2,271
4500,0.976,0.14868,-439.6,18.2,270
4600,0.976,0.14594,-408.1,18.1,272
